date,bot_name,bot_file,opponent,seed,result,my_reward,opponent_reward,my_status,opponent_status
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,0,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,1,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,2,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,3,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,4,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,5,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,6,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,7,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,8,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,9,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,10,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,11,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,12,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,13,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,14,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,15,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,16,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,17,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,18,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,19,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,20,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,21,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,22,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,23,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,24,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,25,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,26,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,27,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,28,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,29,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,30,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,31,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,32,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,33,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,34,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,35,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,36,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,37,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,38,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,39,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,40,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,41,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,42,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,43,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,44,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,45,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,46,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,47,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,48,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,49,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,50,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,51,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,52,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,53,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,54,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,55,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,56,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,57,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,58,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,59,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,60,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,61,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,62,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,63,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,64,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,65,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,66,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,67,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,68,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,69,loss,-1,1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,70,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,71,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,72,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,73,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,74,win,1,-1,DONE,DONE
2026/05/28,V3_attack_defense_neutral_light,versions/v3_defense.py,versions/opponent_strong.py,75,loss,-1,1,DONE,DONE
