date,experiment,player0_name,player0_file,player1_name,player1_file,seed,winner,reward0,reward1,status0,status1
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,0,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,1,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,2,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,3,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,4,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,5,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,6,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,7,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,8,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,9,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,10,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,11,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,12,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,13,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,14,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,15,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,16,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,17,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,18,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,19,draw,1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,20,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,21,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,22,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,23,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,24,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,25,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,26,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,27,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,28,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,29,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,30,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,31,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,32,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,33,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,34,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,35,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,36,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,37,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,38,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,39,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,40,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,41,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,42,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,43,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,44,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,45,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,46,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,47,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,48,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,49,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,50,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,51,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,52,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,53,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,54,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,55,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,56,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,57,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,58,V3_neutral_light,1,-1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,59,V2_expansion,-1,1,DONE,DONE
2026/05/28,V3_neutral_light_vs_V2_expansion_100,V3_neutral_light,versions/v3_defense.py,V2_expansion,versions/v2_expansion.py,60,V3_neutral_light,1,-1,DONE,DONE
