date,bot_name,bot_file,opponent,seed,result,my_reward,opponent_reward,my_status,opponent_status
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,0,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,1,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,2,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,3,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,4,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,5,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,6,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,7,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,8,loss,-1,1,DONE,DONE
2026/05/24,V1_baseline,versions/v1_baseline.py,versions/opponent_strong.py,9,win,1,-1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,0,loss,-1,1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,1,win,1,-1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,2,win,1,-1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,3,loss,-1,1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,4,loss,-1,1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,5,win,1,-1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,6,win,1,-1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,7,loss,-1,1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,8,win,1,-1,DONE,DONE
2026/05/24,V2_expansion,versions/v2_expansion.py,versions/opponent_strong.py,9,loss,-1,1,DONE,DONE
